course_name,topic_name,topic_url
Economic Policy After Keynes,economics,http://dbpedia.org/resource/Economic_model
Economic Policy After Keynes,Keynesianism,http://dbpedia.org/resource/Keynesian_economics
Economic Policy After Keynes,public policy,http://dbpedia.org/resource/Public_policy
Economic Policy After Keynes,fertility rate,http://dbpedia.org/resource/Total_fertility_rate
Public Policy and Business Cycles,public policy,http://dbpedia.org/resource/Public_policy
Public Policy and Business Cycles,business cycle,http://dbpedia.org/resource/Business_cycle
Public Policy and Business Cycles,economic cycle,http://dbpedia.org/resource/Business_cycle
Public Policy and Business Cycles,Canadian,http://dbpedia.org/resource/Canada
Knowledge in International Relations,Globalization,http://dbpedia.org/resource/Globalization
Knowledge in International Relations,Foreign Policy,http://dbpedia.org/resource/Foreign_Policy
Knowledge in International Relations,Human Security,http://dbpedia.org/resource/Human_security
Knowledge in International Relations,Global Politics,http://dbpedia.org/resource/Global_politics
Knowledge in International Relations,International Political Economy,http://dbpedia.org/resource/International_political_economy
Canadian Public Administration,Canadian,http://dbpedia.org/resource/Canada
Canadian Public Administration,Canada,http://dbpedia.org/resource/Canada
Canadian Public Administration,Socialization,http://dbpedia.org/resource/Socialization
Canadian Public Administration,Quebec,http://dbpedia.org/resource/Quebec
Canadian Public Administration,Imagination,http://dbpedia.org/resource/Imagination
Canadian Public Administration,political science,http://dbpedia.org/resource/Political_science
Canadian Public Administration,sociology,http://dbpedia.org/resource/Sociology
Canadian Public Administration,economics,http://dbpedia.org/resource/Economics
Canadian Public Administration,psychology,http://dbpedia.org/resource/Psychology
Canadian Public Administration,environmental politics,http://dbpedia.org/resource/Environmental_politics
Comparative Public Administration,Socialization,http://dbpedia.org/resource/Socialization
Comparative Public Administration,Comparative Politics,http://dbpedia.org/resource/Comparative_politics
Comparative Public Administration,Public Choice,http://dbpedia.org/resource/Public_choice
Comparative Public Administration,Global Politics,http://dbpedia.org/resource/Global_politics
Comparative Public Administration,Nationalism,http://dbpedia.org/resource/Nationalism
Comparative Public Administration,public administration,http://dbpedia.org/resource/Public_administration
Comparative Public Administration,Canadian,http://dbpedia.org/resource/Canada
Public Administration of Intergovernmental Affairs,Canada,http://dbpedia.org/resource/Canada
Public Administration of Intergovernmental Affairs,Socialization,http://dbpedia.org/resource/Socialization
Public Administration of Intergovernmental Affairs,Canadian,http://dbpedia.org/resource/Canada
Public Administration of Intergovernmental Affairs,Quebec,http://dbpedia.org/resource/Quebec
Public Administration of Intergovernmental Affairs,Imagination,http://dbpedia.org/resource/Imagination
Public Administration of Intergovernmental Affairs,public administration,http://dbpedia.org/resource/Public_administration
Ethics and Values in Public Policy Making,Biotechnology,http://dbpedia.org/resource/Biotechnology
Ethics and Values in Public Policy Making,Imagination,http://dbpedia.org/resource/Imagination
Ethics and Values in Public Policy Making,intergovernmental,http://dbpedia.org/resource/Intergovernmentalism
Ethics and Values in Public Policy Making,Canadian,http://dbpedia.org/resource/Canada
Organization Theory,organization theory,http://dbpedia.org/resource/Organizational_studies
Organization Theory,organizational culture,http://dbpedia.org/resource/Organizational_culture
Organization Theory,critical thinking,http://dbpedia.org/resource/Critical_thinking
Organization Theory,ethics,http://dbpedia.org/resource/Ethics
Organization Theory,public duties,http://dbpedia.org/resource/Public_duties
Policy Analysis and Program Evaluation,Canada,http://dbpedia.org/resource/Canada
Policy Analysis and Program Evaluation,Socialization,http://dbpedia.org/resource/Socialization
Policy Analysis and Program Evaluation,Canadian,http://dbpedia.org/resource/Canada
Policy Analysis and Program Evaluation,Quebec,http://dbpedia.org/resource/Quebec
Policy Analysis and Program Evaluation,Imagination,http://dbpedia.org/resource/Imagination
"Biotechnology, Agriculture and Food Policy",Biotechnology,http://dbpedia.org/resource/Biotechnology
"Biotechnology, Agriculture and Food Policy",biotechnology,http://dbpedia.org/resource/Biotechnology
"Biotechnology, Agriculture and Food Policy",agriculture,http://dbpedia.org/resource/Agriculture
"Biotechnology, Agriculture and Food Policy",food security,http://dbpedia.org/resource/Food_security
"Biotechnology, Agriculture and Food Policy",Canadian,http://dbpedia.org/resource/Canada
"Biotechnology, Agriculture and Food Policy",EU,http://dbpedia.org/resource/European_Union
"Biotechnology, Agriculture and Food Policy",political science,http://dbpedia.org/resource/Political_science
"Biotechnology, Agriculture and Food Policy",experimental control,http://dbpedia.org/resource/Scientific_control
Indigenous Peoples and the State,Canada,http://dbpedia.org/resource/Canada
Indigenous Peoples and the State,Socialization,http://dbpedia.org/resource/Socialization
Indigenous Peoples and the State,Canadian,http://dbpedia.org/resource/Canada
Indigenous Peoples and the State,Quebec,http://dbpedia.org/resource/Quebec
Indigenous Peoples and the State,Imagination,http://dbpedia.org/resource/Imagination
Feminist Critiques of Public Policy,feminist,http://dbpedia.org/resource/Feminist_theory
Feminist Critiques of Public Policy,public policy,http://dbpedia.org/resource/Policy
Feminist Critiques of Public Policy,evolution,http://dbpedia.org/resource/Evolution
Feminist Critiques of Public Policy,Canadian,http://dbpedia.org/resource/Canada
"Science, Technology and Power",science policy,http://dbpedia.org/resource/Science_policy
Directed Studies,Canada,http://dbpedia.org/resource/Canada
Directed Studies,Socialization,http://dbpedia.org/resource/Socialization
Directed Studies,Canadian,http://dbpedia.org/resource/Canada
Directed Studies,Quebec,http://dbpedia.org/resource/Quebec
Directed Studies,Imagination,http://dbpedia.org/resource/Imagination
Policy Making and the National Purpose in Canada,Canada,http://dbpedia.org/resource/Canada
Policy Making and the National Purpose in Canada,American,http://dbpedia.org/resource/United_States
Policy Making and the National Purpose in Canada,Canadian,http://dbpedia.org/resource/Canada
Policy Making and the National Purpose in Canada,nationalist,http://dbpedia.org/resource/Nationalism
Policy Making and the National Purpose in Canada,Socialization,http://dbpedia.org/resource/Socialization
Policy Making and the National Purpose in Canada,Comparative Politics,http://dbpedia.org/resource/Comparative_politics
Policy Making and the National Purpose in Canada,Public Choice,http://dbpedia.org/resource/Public_choice
Policy Making and the National Purpose in Canada,Global Politics,http://dbpedia.org/resource/Global_politics
Policy Making and the National Purpose in Canada,Nationalism,http://dbpedia.org/resource/Nationalism
Judicial Politics and Policy,public policy,http://dbpedia.org/resource/Public_policy
Political Socialization: A Comparative Perspective,Socialization,http://dbpedia.org/resource/Socialization
Political Socialization: A Comparative Perspective,Comparative Politics,http://dbpedia.org/resource/Comparative_politics
Political Socialization: A Comparative Perspective,Public Choice,http://dbpedia.org/resource/Public_choice
